Company Name,Times Communicated,Email ID,Location,WhatsApp Number,Classification,Responses,Don't Message,WhatsApp Number 2
Vetic,,,Gurgaon,8929009134,Clinic,0,,
Sicons,,support@siconsthepetsafari.com,Delhi,8447483030,"Groom, Clinic, Shop",0,FALSE,
Tails & Coffee,,,,9205553533,Clinic,0,,
SKRD Pet Hospital,,skrdvet@gmail.com,Gurgaon,9891991003,Clinic,0,,
Paws & Claws Pet Clinic,,,Gurgaon,9971191027,Clinic,0,,
Vitopia Pet Clinic,,,Gurgaon,7404346034,Clinic,0,,7011801406
Shuperpet ,,,,9810691056,Shop,0,,9643659495
Heads Up for Tails,,hello@headsupfortails.com,Delhi,,Shop,0,,
Crown Vet Hospital,,clientservices@crown.vet,,8062744111,,0,,
Zigly Pet Care,,support@zigly.com,Delhi,9999922020,,0,,
